fd_max,insights_duration,shutdown_reason,used_memory_max,total_network,cpu_system_time,tx_bytes,insight_init_duration,tmp_max,init_duration,payload,request_id,fd_use,agent_memory_max,function_name,cold_start,version,start_time,total_memory,tmp_free,tmp_used,rx_bytes,agent_memory_avg,duration,billed_mb_ms,memory_used,memory_size,billed_duration,shutdown,threads_max,memory_utilisation,cpu_user_time
1024.0,6.0,0,73.0,12348.0,0.0,4704.0,0.0,550461440.0,,{'n': 4810},a2747666-7869-4f3d-a937-1efe55b6ef5a,19.0,10.0,sebs-floatOperation,False,RAM1280,1722578904968,1280.0,538320896.0,12140544.0,7644.0,10.0,7,8960.0,73,1280,7.0,0.0,10.0,5.0,0.0
1024.0,6.0,0,72.0,84.0,50.0,42.0,508.0,550461440.0,508.0,{'n': 910},b09f9395-6411-48b4-87f6-4491a7770aa8,21.0,9.0,sebs-floatOperation,True,RAM2048,1722578903097,2048.0,538324992.0,12136448.0,42.0,8.0,7,14336.0,72,2048,7.0,0.0,10.0,3.0,30.0
1024.0,6.0,0,72.0,84.0,140.0,42.0,527.0,550461440.0,527.0,{'n': 1310},dcf62fa6-3052-4080-8de4-294a5012ef73,21.0,9.0,sebs-floatOperation,True,RAM1536,1722578902398,1536.0,538324992.0,12136448.0,42.0,8.0,7,10752.0,72,1536,7.0,0.0,10.0,4.0,70.0
1024.0,5.0,0,74.0,5074.0,0.0,4578.0,0.0,550461440.0,,{'n': 5210},c58c9b86-7f77-452f-a25a-64001ec9b5fd,19.0,10.0,sebs-floatOperation,False,RAM2944,1722578906610,2944.0,538320896.0,12140544.0,496.0,10.0,6,17664.0,74,2944,6.0,0.0,10.0,2.0,20.0
1024.0,7.0,0,74.0,12946.0,0.0,5162.0,0.0,550461440.0,,{'n': 7610},ab256e73-afb2-4cfe-b095-dfaf768f7225,20.0,9.0,sebs-floatOperation,False,RAM2688,1722578908601,2688.0,538320896.0,12140544.0,7784.0,9.0,8,21504.0,74,2688,8.0,0.0,10.0,2.0,10.0
1024.0,8.0,0,74.0,1188.0,0.0,408.0,0.0,550461440.0,,{'n': 8610},3a20aa7c-a2ff-4361-bda4-2e9d1a4e44cf,19.0,9.0,sebs-floatOperation,False,RAM1024,1722578907287,1024.0,538320896.0,12140544.0,780.0,9.0,9,9216.0,74,1024,9.0,0.0,10.0,7.0,10.0
1024.0,3.0,0,72.0,10530.0,10.0,4021.0,0.0,550461440.0,,{'n': 1710},51c3f259-4615-4ba4-9e8d-8604bd8f078b,19.0,9.0,sebs-floatOperation,False,RAM2560,1722578904458,2560.0,538320896.0,12140544.0,6509.0,9.0,4,10240.0,72,2560,4.0,0.0,10.0,2.0,0.0
1024.0,24.0,0,71.0,84.0,60.0,42.0,524.0,550461440.0,524.0,{'n': 510},7016f18f-aed9-48f3-90f6-6a1229700dd2,21.0,9.0,sebs-floatOperation,True,RAM256,1722578901538,256.0,538324992.0,12136448.0,42.0,9.0,25,6400.0,71,256,25.0,0.0,10.0,27.0,40.0
1024.0,40.0,0,73.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 9410},4b9989af-5815-41d6-b54a-58fe97d46e19,20.0,10.0,sebs-floatOperation,False,RAM256,1722578908318,256.0,538320896.0,12140544.0,0.0,10.0,41,10496.0,73,256,41.0,0.0,10.0,28.0,10.0
1024.0,3.0,0,73.0,10382.0,0.0,2779.0,0.0,550461440.0,,{'n': 2310},784e8e9d-dbf7-472c-9c52-599d67c9677f,19.0,10.0,sebs-floatOperation,False,RAM512,1722578904827,512.0,538320896.0,12140544.0,7603.0,10.0,4,2048.0,73,512,4.0,0.0,9.0,14.0,20.0
